,frameType,packetNumber,OBCUpTime,obcT1,TXcurrent,RXcurrent,TempBatt,IMTQ_temp,tempP1,UTCTime
225,1.0,7572.0,8024.0,25.738399999999984,0.0,62.0,24.0,25.5,23.4921875,1554125660.0
226,1.0,7708.0,8168.0,25.738399999999984,0.0,62.0,23.0,25.5,23.7421875,1554126223.0
227,1.0,9607.0,10190.0,25.738399999999984,0.0,62.0,24.0,25.5,23.7421875,1577735772.0
228,1.0,7996.0,8473.0,25.738399999999984,0.0,62.0,23.0,25.5,23.4921875,1554127414.0
229,1.0,8132.0,8617.0,25.738399999999984,0.0,62.0,23.0,25.5,23.4921875,1554127977.0
230,1.0,9709.0,10298.0,26.128309999999985,0.0,63.0,24.0,25.5,23.7421875,1577736194.0
231,1.0,8420.0,8922.0,25.738399999999984,0.0,62.0,23.0,25.5,23.4921875,1554129168.0
232,1.0,8556.0,9066.0,25.738399999999984,0.0,62.0,23.0,25.5,23.4921875,1554129731.0
233,1.0,9811.0,10406.0,26.128309999999985,0.0,62.0,24.0,25.5,23.7421875,1577736615.0
234,1.0,8890.0,9420.0,26.128309999999985,0.0,62.0,23.0,25.5,23.4921875,1554131112.0
235,1.0,2911.0,3083.0,24.178759999999997,377.0,62.0,22.0,24.0,21.7421875,1488698443.0
236,1.0,9207.0,9755.0,25.738399999999984,0.0,62.0,23.0,25.5,23.7421875,1554132425.0
237,1.0,9924.0,10526.0,26.128309999999985,0.0,62.0,24.0,25.5,23.7421875,1577737083.0
238,1.0,9344.0,9901.0,25.348489999999998,0.0,62.0,23.0,25.5,23.7421875,1554132991.0
239,1.0,9480.0,10045.0,25.738399999999984,0.0,62.0,23.0,25.5,23.7421875,1554133554.0
240,1.0,10009.0,10616.0,25.738399999999984,0.0,62.0,24.0,25.5,23.7421875,1577737434.0
241,1.0,4435.0,4705.0,23.009029999999996,0.0,62.0,20.0,22.5,20.9921875,1509903735.0
242,1.0,9828.0,10414.0,25.738399999999984,0.0,62.0,23.0,25.5,23.7421875,1554134998.0
243,1.0,15439.0,16372.0,24.568669999999997,377.0,63.0,22.0,24.5,21.9921875,1509949311.0
244,1.0,9965.0,10559.0,25.738399999999984,0.0,62.0,23.0,25.5,23.7421875,1554135565.0
245,1.0,10101.0,10703.0,25.738399999999984,0.0,62.0,23.0,25.5,23.7421875,1554136127.0
246,1.0,10374.0,10994.0,25.738399999999984,0.0,62.0,23.0,25.5,23.7421875,1554137261.0
247,1.0,10307.0,10933.0,25.738399999999984,0.0,62.0,24.0,26.0,23.7421875,1577738676.0
248,1.0,6345.0,6720.0,24.568669999999997,0.0,62.0,22.0,24.5,22.2421875,1510225068.0
249,1.0,10510.0,11138.0,25.738399999999984,0.0,62.0,23.0,25.5,23.7421875,1554137824.0
250,1.0,10647.0,11283.0,25.738399999999984,0.0,62.0,23.0,25.5,23.7421875,1554138391.0
251,1.0,10399.0,11031.0,26.128309999999985,0.0,62.0,24.0,26.0,23.7421875,1577739057.0
252,1.0,10949.0,11604.0,25.738399999999984,0.0,63.0,23.0,25.5,23.7421875,1554139644.0
253,1.0,10472.0,11108.0,26.128309999999985,0.0,62.0,24.0,26.0,23.7421875,1577739359.0
254,1.0,11086.0,11749.0,25.738399999999984,0.0,62.0,23.0,25.5,23.7421875,1554140211.0
255,1.0,11419.0,12101.0,26.128309999999985,0.0,62.0,23.0,25.5,23.7421875,1554141589.0
256,1.0,3360.0,3566.0,22.619119999999995,0.0,62.0,20.0,22.5,21.2421875,1509899283.0
